Row Labels,Sum of count,,tag id,sum of count
23,6,,,
25,2,,30574,3179351
48,1,,8717,107602
65,2,,11557,72360
79,1,,26138,51425
89,1,,11305,41406
102,1,,33114,30547
116,1,,11743,25130
117,1,,27199,21495
118,1,,22973,20058
121,1,,5207,18736
132,2,,32989,15237
134,238,,21387,14383
147,2,,22743,13673
153,1,,8055,13172
173,1,,31745,11765
175,1,,17213,11605
177,16,,22983,9677
178,1,,31617,8407
179,2,,8076,7779
210,12,,1642,7343
211,4,,10825,6930
221,2,,10197,6496
240,21,,6750,6250
251,16,,14487,5973
304,1,,30521,5880
305,1,,18045,5764
306,1,,9221,5734
356,4,,22753,5419
369,2,,11590,5257
371,3,,10210,5165
379,2,,21689,5062
380,9,,29011,5033
392,37,,26837,5007
414,12,,9638,4868
442,11,,31723,4856
450,6,,14821,4296
471,3,,26771,4269
473,20,,3389,4102
480,4,,2516,4060
481,1,,20939,3907
487,13,,4055,3742
492,9,,20774,3649
498,5,,32586,3583
499,2,,25149,3315
500,7,,11497,3226
503,1,,18886,3224
507,2,,14467,3186
509,101,,19524,3129
526,1,,13561,3017
530,1,,25150,3009
542,1,,8150,2902
546,7,,25148,2829
547,557,,25151,2810
557,1,,29452,2782
560,6,,15169,2780
572,1,,3392,2773
575,71,,14527,2767
577,1,,19052,2761
592,1,,1128,2694
594,1,,2136,2627
595,2,,10093,2615
597,36,,1691,2583
600,1,,3371,2550
603,13,,7077,2480
605,19,,30358,2446
608,24,,9477,2405
609,46,,32345,2367
611,27,,7116,2300
612,1,,10094,2298
615,56,,8922,2291
617,52,,21928,2270
618,1,,10064,2227
620,1,,18668,2173
621,3,,18640,2129
631,1,,10824,2078
635,5,,1659,2006
643,6,,10817,2006
646,2,,11505,2001
648,1,,14917,1973
652,7,,25152,1967
653,2,,21773,1950
659,42,,24995,1945
661,9,,9886,1907
663,1,,12035,1856
667,36,,1078,1781
670,5,,25685,1777
671,113,,20849,1751
672,64,,7778,1745
673,10,,13547,1736
681,2,,4949,1725
682,1,,7668,1638
686,60,,14064,1629
688,37,,5090,1610
691,18,,2104,1584
694,63,,3358,1565
695,2,,15048,1561
697,3,,24960,1555
698,500,,10059,1550
699,59,,30464,1543
700,89,,29076,1536
704,1,,24996,1450
708,1,,20824,1437
711,127,,26785,1384
713,9,,22689,1382
718,282,,25147,1358
722,868,,4944,1353
723,33,,23037,1353
724,43,,24997,1344
728,5,,3786,1340
732,1,,20731,1338
733,4,,22034,1337
736,136,,1499,1328
738,19,,11550,1320
742,2,,9277,1278
747,177,,17217,1276
749,15,,1416,1256
751,683,,21815,1249
752,161,,11595,1243
753,188,,25822,1239
761,2,,14370,1229
764,4,,25438,1196
765,2,,11491,1180
766,307,,33009,1156
767,5,,32099,1151
770,54,,7457,1143
771,1,,24993,1112
773,1,,27613,1098
774,21,,22944,1094
777,1,,23796,1087
778,2,,1434,1076
780,357,,3783,1073
781,258,,2538,1053
782,4,,4942,1041
783,910,,23831,1014
784,185,,11978,1010
785,220,,27473,1005
790,1,,1679,1004
805,177,,28612,997
807,24,,10731,992
809,35,,21055,981
813,22,,33012,980
815,6,,9882,977
820,27,,1540,951
823,198,,14552,939
829,91,,18680,929
831,557,,3379,915
832,98,,22977,913
833,169,,783,910
839,2,,25647,890
855,94,,22333,887
857,5,,26894,873
860,22,,722,868
865,1,,18851,863
873,1,,28663,862
882,1,,24999,849
888,70,,8209,823
892,1,,33035,815
893,76,,25153,804
894,4,,27095,802
895,199,,7677,801
899,1,,25146,800
901,26,,31756,794
902,1,,21274,789
914,1,,19733,775
915,1,,21024,775
923,60,,29316,768
924,1,,3377,766
930,6,,28610,763
939,1,,24526,761
940,12,,32996,759
941,55,,8517,755
944,1,,33045,748
951,1,,6953,740
956,3,,32623,731
959,2,,8067,726
962,1,,31372,714
963,4,,28525,711
964,1,,10835,710
968,5,,5180,703
971,2,,2138,698
979,1,,19175,698
982,8,,2938,689
984,1,,2852,687
1002,1,,751,683
1007,13,,11370,682
1008,3,,27975,681
1009,1,,16141,675
1010,655,,27669,670
1019,8,,1010,655
1033,14,,9124,653
1039,128,,25167,652
1040,6,,9484,650
1041,11,,22345,650
1051,1,,11200,648
1060,20,,14361,643
1067,2,,19699,636
1073,1,,12598,626
1074,1,,27535,622
1076,151,,26207,619
1077,8,,28341,619
1078,1781,,21989,606
1079,1,,10539,600
1083,1,,5951,598
1085,1,,18001,595
1086,1,,5481,589
1093,1,,22352,588
1120,507,,15626,587
1121,42,,2541,585
1123,2,,2519,574
1124,2,,14894,570
1127,2,,17746,566
1128,2694,,13150,564
1131,61,,7511,558
1143,40,,547,557
1144,63,,831,557
1150,1,,12680,553
1153,5,,6663,549
1155,2,,4508,546
1157,3,,33124,544
1182,172,,11503,541
1184,1,,20994,541
1199,8,,8952,539
1215,1,,10644,538
1235,1,,7203,536
1236,1,,12334,528
1243,4,,19817,524
1253,1,,11366,521
1256,1,,32341,519
1257,1,,6857,516
1287,1,,19519,516
1291,29,,12948,512
1314,1,,18054,509
1324,3,,19549,509
1342,1,,1120,507
1352,4,,28422,505
1354,1,,11574,503
1355,23,,698,500
1364,1,,17706,500
1377,9,,2517,498
1402,2,,28384,497
1415,14,,18795,490
1416,1256,,25562,488
1422,1,,26816,487
1423,1,,22839,485
1425,1,,18994,484
1426,3,,18682,477
1427,3,,14017,475
1434,1076,,32080,471
1444,45,,6766,470
1449,2,,4605,461
1452,4,,23005,454
1476,1,,24187,443
1479,1,,32130,442
1484,10,,18608,441
1485,6,,9866,440
1489,76,,22601,439
1491,1,,6888,433
1492,3,,11988,431
1499,1328,,6828,430
1500,28,,31505,430
1501,7,,26146,420
1502,18,,13792,419
1511,10,,24051,418
1521,5,,25000,415
1540,951,,7219,414
1542,398,,8346,411
1547,2,,27398,409
1549,4,,7224,406
1550,1,,26194,405
1554,27,,31727,405
1556,2,,1542,398
1559,13,,21339,397
1562,6,,2660,395
1564,8,,6895,394
1574,1,,2132,393
1584,6,,7279,391
1586,3,,29464,389
1589,1,,9420,388
1590,1,,11221,386
1592,2,,2499,385
1593,1,,22025,384
1603,2,,26897,380
1633,1,,11166,377
1635,1,,27600,376
1642,7343,,13794,368
1644,1,,23931,367
1645,42,,31734,367
1648,3,,22733,366
1649,4,,30386,362
1650,11,,21391,359
1654,55,,780,357
1657,1,,8408,356
1658,1,,27391,352
1659,2006,,25145,344
1662,1,,4542,338
1668,23,,18670,338
1669,25,,5444,334
1671,91,,12175,331
1679,1004,,16871,331
1683,2,,23471,330
1691,2583,,4834,328
1692,8,,25506,328
1696,8,,11124,326
1698,5,,27314,324
1700,1,,10729,321
1708,14,,9822,320
1711,2,,19742,320
1714,3,,24992,319
1718,3,,28532,310
1736,3,,8130,308
1746,29,,11937,308
1753,88,,766,307
1754,10,,6729,307
1758,21,,26163,299
1761,9,,26556,299
1762,7,,30241,299
1764,6,,7725,296
1779,3,,31934,296
1782,188,,24662,294
1786,20,,29401,294
1796,2,,18367,291
1810,10,,29384,289
1825,52,,27611,288
1826,64,,2580,285
1847,4,,7924,285
1855,1,,14921,285
1881,1,,18784,285
1896,1,,22027,283
1906,5,,718,282
1938,29,,5510,282
1973,6,,33121,282
1974,10,,5393,281
2005,5,,20125,281
2015,124,,8937,280
2035,5,,17124,280
2042,4,,18011,280
2048,27,,18869,278
2056,181,,28681,275
2057,1,,12542,274
2067,4,,29151,273
2071,7,,31232,273
2093,1,,2277,272
2098,13,,17755,272
2100,6,,21831,271
2101,78,,12869,270
2103,1,,12922,270
2104,1584,,11875,268
2106,125,,25987,265
2107,2,,19974,264
2125,1,,9976,262
2132,393,,18051,262
2135,73,,6362,261
2136,2627,,32234,259
2138,698,,781,258
2139,1,,13881,258
2147,1,,25554,258
2149,27,,4112,257
2151,1,,7541,257
2153,1,,11207,257
2156,10,,30094,257
2157,1,,33004,257
2158,167,,4503,255
2159,2,,7806,254
2160,2,,33268,254
2162,1,,12600,253
2163,10,,20673,253
2166,11,,15067,252
2173,95,,16518,252
2176,23,,10108,251
2177,4,,6122,250
2180,50,,7739,248
2183,1,,14903,246
2184,8,,20781,245
2186,11,,26305,245
2188,10,,12034,244
2189,1,,20989,244
2199,42,,32676,243
2200,8,,15215,241
2210,94,,26842,241
2218,17,,17780,239
2219,3,,26065,239
2220,1,,134,238
2223,53,,7404,238
2227,1,,11202,238
2271,58,,10213,237
2277,272,,28881,237
2282,4,,27556,235
2287,2,,15453,232
2289,2,,27766,231
2293,3,,17906,230
2294,15,,27111,230
2305,42,,4696,229
2312,31,,11871,229
