book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,NonEnglish
99,11857408,11857408,16813814,147,1612130585,9781612130580.0,E.L. James,2011.0,Fifty Shades Darker,"Fifty Shades Darker (Fifty Shades, #2)",eng,3.87,552059,623340,28052,37245,58935,114203,150906,262051,https://images.gr-assets.com/books/1358266080m/11857408.jpg,https://images.gr-assets.com/books/1358266080s/11857408.jpg,0
210,345627,345627,335933,132,159514174X,9781595141740.0,Richelle Mead,2007.0,,"Vampire Academy (Vampire Academy, #1)",en-US,4.14,248283,455151,19720,12535,22043,73357,129382,217834,https://images.gr-assets.com/books/1361098973m/345627.jpg,https://images.gr-assets.com/books/1361098973s/345627.jpg,0
776,567616,567616,347606,8,714836257,9780714836260.0,Phaidon Press,1997.0,,The Art Book,eng,3.79,102746,102988,192,7128,7874,22124,28325,37537,https://images.gr-assets.com/books/1411210646m/567616.jpg,https://images.gr-assets.com/books/1411210646s/567616.jpg,0
843,13584236,13584236,19171215,31,345803574,9780345803570.0,E.L. James,2012.0,,"Fifty Shades Trilogy (Fifty Shades, #1-3)",,4.13,76876,101613,6275,5505,6427,13235,20763,55683,https://images.gr-assets.com/books/1431573483m/13584236.jpg,https://images.gr-assets.com/books/1431573483s/13584236.jpg,0
861,15745950,15745950,21436019,58,1476712980,9781476712990.0,Jamie McGuire,2013.0,Walking Disaster,"Walking Disaster (Beautiful, #2)",eng,4.23,134022,145114,11348,2597,5841,20243,42657,73776,https://images.gr-assets.com/books/1352338368m/15745950.jpg,https://images.gr-assets.com/books/1352338368s/15745950.jpg,0
904,10140661,10140661,15038778,50,1936305623,9781936305630.0,Sylvain Reynard,2011.0,Gabriel's Inferno,"Gabriel's Inferno (Gabriel's Inferno, #1)",eng,4.02,119633,127883,7192,5445,8481,21252,35901,56804,https://images.gr-assets.com/books/1301789770m/10140661.jpg,https://images.gr-assets.com/books/1301789770s/10140661.jpg,0
938,16081272,16081272,21880254,61,1480095532,9781480095530.0,J.A. Redmerski,2012.0,The Edge of Never,"The Edge of Never (The Edge of Never, #1)",en-US,4.26,117508,127686,10763,2681,4863,16493,35712,67937,https://images.gr-assets.com/books/1358810128m/16081272.jpg,https://images.gr-assets.com/books/1358810128s/16081272.jpg,0
954,6202690,6202690,6383190,14,316070521,9780316070520.0,Catherine Hardwicke,2009.0,Twilight Director's Notebook,Twilight Director's Notebook : The Story of How We Made the Movie Based on the Novel by Stephenie Meyer,en-US,4.2,88847,89383,417,3040,4242,14517,17460,50124,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
992,3090465,3090465,6440505,36,739352350,9780739352360.0,"Stephenie Meyer, Ilyana Kadushin, Matt Walters",2005.0,The Twilight Saga,"The Twilight Saga (Twilight, #1-4)",,3.88,89204,96811,3641,7478,7649,16077,23209,42398,https://images.gr-assets.com/books/1327930511m/3090465.jpg,https://images.gr-assets.com/books/1327930511s/3090465.jpg,0
1036,15842441,15842441,16657003,37,1476717486,9781476717490.0,S.C. Stephens,2011.0,Effortless,"Effortless (Thoughtless, #2)",eng,4.37,83085,106314,4350,1581,3034,11691,28189,61819,https://images.gr-assets.com/books/1364805648m/15842441.jpg,https://images.gr-assets.com/books/1364805648s/15842441.jpg,0
