user_id,book_id,rating
2,3753,5
22,8512,2
70,9473,3
74,3009,5
113,4663,3
113,8038,4
125,9111,4
149,6407,4
158,8539,4
158,2701,4
137,3591,5
212,6407,5
232,4872,2
116,5293,2
240,4287,5
263,5313,5
264,9473,4
242,8779,3
112,9111,5
184,4795,4
155,9473,1
174,5385,3
215,2701,1
324,4795,4
344,2579,5
345,5385,3
131,9473,2
347,5948,3
332,3753,4
370,8987,3
370,4542,4
379,9048,5
385,2507,5
222,4872,3
396,5385,4
415,8423,5
427,4872,3
446,1111,3
446,8779,4
447,4660,4
245,6218,3
456,9111,3
302,9473,5
420,4872,2
401,6255,3
386,9473,4
451,3753,5
451,4603,5
499,2579,3
490,8474,3
531,4660,5
531,4872,4
546,6447,5
463,7325,5
463,2645,3
590,6391,4
592,9830,2
598,3753,5
378,8512,3
533,8779,3
632,5948,4
643,7387,5
234,5293,3
653,4035,3
653,5745,3
653,8201,4
654,8779,3
654,2701,5
654,4989,5
662,4337,5
25,9473,1
679,9863,4
688,2645,4
691,6218,5
691,6678,5
691,8038,5
669,1111,2
706,3753,5
670,4542,4
446,4337,4
68,3275,4
123,8987,3
745,1111,3
751,8032,1
714,5061,3
682,2701,3
682,4989,4
788,1111,5
788,9416,4
793,5867,4
810,5948,3
819,1698,5
764,9111,5
812,9503,4
830,8474,3
764,4872,3
715,4872,2
829,6807,3
750,2101,5
840,4660,4
897,1698,3
816,4663,5
953,3009,2
961,4872,4
829,3894,4
963,8934,5
975,6255,4
975,6995,3
323,4287,5
801,8779,2
990,4872,4
510,2579,3
1007,4542,5
1014,7325,5
1002,4989,2
1002,2701,2
926,9343,1
1043,1111,3
1044,9503,4
1044,2701,2
1044,4542,5
919,5385,2
1055,4660,5
957,4872,3
1063,4660,5
547,4660,5
973,5003,3
1132,2701,3
723,5385,3
7,7325,3
1173,5385,4
1176,4663,3
1174,9473,2
1059,7927,2
1164,5948,4
1196,6186,4
1144,8987,2
1167,1338,5
1220,3753,5
452,8731,3
1230,8038,5
1235,8987,5
1235,6807,5
1235,4795,5
872,4919,2
1211,4337,5
1228,5385,4
1195,9503,5
1225,5385,4
1286,4872,3
746,3753,5
1323,4872,4
1321,4337,2
1349,9925,5
1361,1111,2
1002,1698,1
746,9048,3
1311,8264,3
331,5533,4
1311,4795,3
383,2376,4
1377,4337,4
1395,1111,4
1403,4872,1
954,3591,3
1424,5385,4
1174,3753,3
1392,8731,4
1392,5385,2
1430,2701,2
1430,4989,2
222,3753,4
773,9473,4
1444,3275,5
1431,5385,2
636,2579,4
1455,1111,3
1455,4542,3
1455,6807,2
1144,4872,1
1441,1338,1
1450,4542,2
1474,8987,3
1474,6807,3
1474,4795,3
1515,8731,2
1496,7325,5
1520,5385,2
1507,2579,5
1526,4337,4
423,9111,4
1557,1111,5
1554,4337,3
1560,4337,5
1117,4660,3
1525,8032,5
1570,2579,5
1578,3753,5
1510,8731,2
1073,776,5
1565,5385,3
1599,4337,4
1544,1111,3
1606,3591,5
1377,1111,4
1628,6391,3
1629,6048,4
1629,4542,5
636,4337,4
1147,5385,2
1616,4989,5
1616,2701,5
1086,1698,3
1086,3735,5
1532,5385,3
1554,1111,3
1645,5385,5
1645,1111,2
1599,9148,2
1650,4287,4
1650,4919,4
1650,4542,2
1561,5385,3
1666,8474,5
1666,8987,4
1666,6807,5
1510,5385,2
28,4872,5
1437,3753,5
683,1111,2
1695,3465,4
1682,2645,4
1663,2701,5
1663,2645,5
1757,8032,3
1761,8779,3
487,1111,1
1536,8423,3
1148,9111,3
1155,8779,4
1709,4872,4
1763,4872,3
1788,4542,4
774,4337,3
1725,9742,3
1810,2645,3
1806,4872,3
1468,4660,5
1820,4337,4
1823,3753,4
1826,5385,4
1709,1338,1
559,2645,3
1843,4989,4
1843,2701,4
1852,6407,5
978,2579,5
1690,9048,4
1854,1698,4
1884,5948,3
1582,3531,3
1155,3009,3
1682,8264,3
1867,9762,2
627,1111,4
627,9048,3
1117,9830,4
1886,6255,4
1910,2579,4
451,7927,1
1924,6391,5
1930,1111,3
1514,3894,4
1934,1111,4
1939,9830,4
1939,4872,3
1413,4872,2
1935,8731,3
1912,1338,5
1971,4337,3
1973,8264,3
125,4663,2
1649,5948,4
1557,8032,3
1740,8423,4
2018,6776,3
1574,9111,5
2031,8067,4
1989,9863,3
2051,1698,4
1977,4872,4
712,5385,4
2075,9503,2
2096,8264,2
2106,4542,5
386,3753,3
928,6455,3
2117,1111,3
2123,6196,4
2108,4872,3
956,8397,4
1657,7500,3
606,5385,3
2016,6407,4
1917,1698,4
1341,8067,4
2143,9048,3
2154,2645,2
1672,5061,2
1820,5385,2
774,1111,4
2188,2579,5
2188,5948,4
2197,5061,2
2210,6391,5
1851,4872,4
1851,4989,4
2215,5385,3
1462,8032,3
2269,9111,5
2275,6455,4
147,3753,5
2283,5385,2
875,6255,4
2184,5948,3
2291,5313,5
2229,5948,5
2252,8474,5
147,4603,3
2316,4542,4
2317,8779,3
24,4872,3
2339,4337,4
2357,1338,5
2357,6963,1
2036,8987,2
1664,2376,3
2373,5948,4
1893,5003,3
2271,8512,4
2366,9503,3
2272,6447,4
2419,2645,3
2292,8779,4
2274,6255,5
2274,1111,3
43,8474,3
2431,8067,4
1951,5385,3
2449,2753,4
2459,7385,5
2333,2579,5
255,4663,4
2464,4542,4
2268,4872,4
2469,1338,5
2481,8380,4
1602,8934,4
2469,6995,5
2222,3894,3
2487,8067,3
654,8405,4
979,6995,2
2384,4542,5
2500,1338,5
2502,4872,3
2430,9473,4
2451,8987,2
2451,4795,4
2451,6807,4
2451,2579,4
2381,6407,1
1057,2579,5
2471,5948,5
2497,776,3
2497,5948,4
2519,776,5
2519,4989,5
2519,2701,5
2178,3591,3
1968,4872,4
2365,1698,4
2525,5385,2
2534,4872,3
2530,5948,5
2225,1338,5
1903,1111,3
2227,3465,4
2591,2701,3
2591,4989,3
2591,4603,3
2591,3753,5
2571,6447,2
1796,6967,3
1796,6725,3
2602,7325,4
2602,9762,3
2602,3009,3
2476,2579,3
2602,8934,4
2591,4795,2
2172,9343,5
2172,2701,4
2591,3735,3
2603,1338,5
17,5061,5
21,9473,3
2516,1338,5
2619,4989,3
2619,2701,3
2619,8987,2
2619,4795,3
2619,6807,3
2628,5948,2
2605,8067,4
1834,9473,2
2337,6956,3
2337,6963,5
2337,1338,5
2639,9489,2
2644,4287,5
